;FECHA_CORTE;REGION;PROVINCIA;DISTRITO;UBIGEO;COD_UNIDAD_EJECUTORA;UNIDAD_EJECUTORA;AMBITO_INEI;CODIGO_IPRESS;IPRESS;VRAEM;NACIONAL_EXTRANJERO;PAIS_EXTRANJERO;DOCUMENTO_IDENTIDAD;EDAD;SEXO;REGIMEN_FINANCIAMIENTO;PLAN_DE_SEGURO;COBERTURA_FINANCIERA;TOTAL_AFILIADOS;
15;31/01/2023;AYACUCHO;VILCAS HUAMÁN;VISCHONGO;51108;1045;REGION AYACUCHO - SALUD CENTRO AYACUCHO;RURAL;6609;CENTRO DE SALUD VISCHONGO;NO;NACIONAL;;D.N.I.;80;MASCULINO;SUBSIDIADO;SIS GRATUITO;PEAS + PC;1;
16;31/01/2023;CUSCO;QUISPICANCHI;URCOS;81201;1322;REG. CUSCO - RED DE SERVICIOS DE SALUD CUSCO SUR;RURAL;2523;URCOS;NO;NACIONAL;;D.N.I.;24;FEMENINO;SUBSIDIADO;SIS PARA TODOS;PEAS + PC;34;
17;31/01/2023;PUNO;AZÁNGARO;SAMAN;210210;917;REGION PUNO - SALUD SAN ROMAN;RURAL;3279;MUNI GRANDE;NO;NACIONAL;;D.N.I.;9;MASCULINO;SUBSIDIADO;SIS GRATUITO;PEAS + PC;6;
18;31/01/2023;ICA;PISCO;TUPAC AMARU INCA;110508;1195;REGION ICA - HOSPITAL SAN JUAN DE DIOS PISCO;URBANA;3472;SAN JUAN DE DIOS;NO;NACIONAL;;D.N.I.;37;MASCULINO;SUBSIDIADO;SIS GRATUITO;PEAS + PC;1;
19;31/01/2023;CAJAMARCA;SAN IGNACIO;SAN IGNACIO;60901;1654;GOB. REG. CAJAMARCA - SALUD SAN IGNACIO;RURAL;7019;MIRAFLORES;NO;NACIONAL;;D.N.I.;15;MASCULINO;SUBSIDIADO;SIS GRATUITO;PEAS + PC;14;
20;31/01/2023;UCAYALI;PADRE ABAD;IRAZOLA;250302;950;REGION UCAYALI - SALUD ;RURAL;7461;SANTA ROSA DE GUINEA;NO;NACIONAL;;D.N.I.;54;FEMENINO;SUBSIDIADO;SIS GRATUITO;PEAS + PC;4;
21;31/01/2023;PIURA;PIURA;VEINTISEIS DE OCTUBRE;200115;899;REGION PIURA - SALUD ;URBANA;2088;E.S I-4 CONSUELO DE VELASCO;NO;NACIONAL;;D.N.I.;6;MASCULINO;SUBSIDIADO;SIS GRATUITO;PEAS + PC;29;
22;31/01/2023;CAJAMARCA;HUALGAYOC;BAMBAMARCA;60701;1662;GOB. REG. CAJAMARCA - SALUD HUALGAYOC - BAMBAMARCA;RURAL;25875;QUILLINSHACUCHO;NO;NACIONAL;;D.N.I.;37;MASCULINO;SUBSIDIADO;SIS GRATUITO;PEAS + PC;4;
23;31/01/2023;LIMA METROPOLITANA;LIMA;SAN JUAN DE LURIGANCHO;150132;1683;DIRECCION DE REDES INTEGRADAS DE SALUD LIMA CENTRO;URBANA;5615;CENTRO DE SALUD SU SANTIDAD JUAN PABLO II;NO;NACIONAL;;D.N.I.;19;FEMENINO;SUBSIDIADO;SIS PARA TODOS;PEAS + PC;45;
24;31/01/2023;UCAYALI;PADRE ABAD;CURIMANA;250303;950;REGION UCAYALI - SALUD ;RURAL;5422;CURIMANA;NO;NACIONAL;;D.N.I.;63;MASCULINO;SUBSIDIADO;SIS GRATUITO;PEAS + PC;16;
25;31/01/2023;CAJAMARCA;CUTERVO;SAN ANDRÉS DE CUTERVO;60608;787;REGION CAJAMARCA - SALUD CUTERVO;RURAL;5036;QUILLUGAY;NO;NACIONAL;;D.N.I.;23;FEMENINO;SUBSIDIADO;SIS GRATUITO;PEAS + PC;5;
26;31/01/2023;CAJAMARCA;SAN IGNACIO;SAN IGNACIO;60901;1654;GOB. REG. CAJAMARCA - SALUD SAN IGNACIO;RURAL;13059;NUEVE DE OCTUBRE;NO;NACIONAL;;D.N.I.;40;MASCULINO;SUBSIDIADO;SIS GRATUITO;PEAS + PC;9;
27;31/01/2023;HUÁNUCO;PACHITEA;CHAGLLA;100802;1696;GOB. REG. DPTO. HUANUCO - RED DE SALUD PACHITEA-PANAO;RURAL;779;CHAGLLA;NO;NACIONAL;;D.N.I.;32;MASCULINO;SUBSIDIADO;SIS PARA TODOS;PEAS + PC;35;
28;31/01/2023;UCAYALI;CORONEL PORTILLO;CALLERIA;250101;1660;GOB. REG. DE UCAYALI - RED DE SALUD N° 01 CORONEL PORTILLO;URBANA;5575;YANAMAYO;NO;NACIONAL;;D.N.I.;26;MASCULINO;SUBSIDIADO;SIS PARA TODOS;PEAS + PC;10;
29;31/01/2023;LIMA PROVINCIAS;BARRANCA;SUPE;150204;1289;REGION LIMA - HOSP. BARRANCA - CAJATAMBO Y SERV. BASICOS DE SALUD;URBANA;7636;HOSPITAL DE SUPE LAURA ESTHER RODRIGUEZ DULANTO;NO;NACIONAL;;D.N.I.;30;FEMENINO;SUBSIDIADO;SIS GRATUITO;PEAS + PC;46;
30;31/01/2023;CAJAMARCA;CAJAMARCA;LOS BAÑOS DEL INCA;60108;1712;GOB. REG. CAJAMARCA - SALUD CAJAMARCA - CAJAMARCA;RURAL;4649;SANTA BARBARA;NO;NACIONAL;;D.N.I.;35;FEMENINO;SUBSIDIADO;SIS PARA TODOS;PEAS + PC;13;
31;31/01/2023;JUNÍN;SATIPO;RÍO TAMBO;120608;829;REGION JUNIN - SALUD SATIPO;RURAL;473;SAN VICENTE DE CANAAN;SI;NACIONAL;;D.N.I.;47;FEMENINO;SUBSIDIADO;SIS GRATUITO;PEAS + PC;13;
32;31/01/2023;CUSCO;LA CONVENCIÓN;VILLA KINTIARINA;80913;1347;GOB. REG. CUSCO - RED DE SERVICIOS DE SALUD KIMBIRI PICHARI;RURAL;2488;VILLA KINTIARINA;SI;NACIONAL;;D.N.I.;34;MASCULINO;SUBSIDIADO;SIS PARA TODOS;PEAS + PC;6;
33;31/01/2023;LAMBAYEQUE;CHICLAYO;JOSÉ LEONARDO ORTIZ;140105;860;REGION LAMBAYEQUE - SALUD ;URBANA;4335;SANTA ANA;NO;NACIONAL;;D.N.I.;71;MASCULINO;SUBSIDIADO;SIS GRATUITO;PEAS + PC;19;
34;31/01/2023;HUANCAVELICA;TAYACAJA;DANIEL HERNÁNDEZ;90706;1645;GOB. REG. HUANCAVELICA - RED DE SALUD TAYACAJA;RURAL;4083;DANIEL HERNANDEZ;SI;NACIONAL;;D.N.I.;65;FEMENINO;SUBSIDIADO;SIS PARA TODOS;PEAS + PC;2;
35;31/01/2023;LORETO;MAYNAS;NAPO;160107;870;REGION LORETO - SALUD LORETO ;RURAL;68;NEGRO URCO;NO;NACIONAL;;D.N.I.;13;FEMENINO;SUBSIDIADO;SIS GRATUITO;PEAS + PC;21;
36;31/01/2023;ÁNCASH;POMABAMBA;QUINUABAMBA;21604;745;REGION ANCASH - SALUD POMABAMBA;RURAL;1782;YAMIAN;NO;NACIONAL;;D.N.I.;50;FEMENINO;SUBSIDIADO;SIS GRATUITO;PEAS + PC;4;
37;31/01/2023;LIMA METROPOLITANA;LIMA;SANTA ANITA;150137;1686;DIRECCION DE REDES INTEGRADAS DE SALUD LIMA ESTE;URBANA;5852;COOPERATIVA UNIVERSAL;NO;NACIONAL;;D.N.I.;31;MASCULINO;SUBSIDIADO;SIS GRATUITO;PEAS + PC;137;
38;31/01/2023;LA LIBERTAD;PATAZ;TAYABAMBA;130801;1060;REGION SAN MARTIN - SALUD ALTO HUALLAGA;RURAL;6583;BALSA PROBANA;NO;NACIONAL;;D.N.I.;28;FEMENINO;SUBSIDIADO;SIS GRATUITO;PEAS + PC;1;
39;31/01/2023;PASCO;DANIEL ALCIDES CARRIÓN;SANTA ANA DE TUSI;190206;889;REGION PASCO - SALUD ;RURAL;995;SANTA ANA DE TUSI;NO;NACIONAL;;D.N.I.;49;MASCULINO;SUBSIDIADO;SIS PARA TODOS;PEAS + PC;12;
40;31/01/2023;JUNÍN;CHANCHAMAYO;PERENE;120302;828;REGION JUNIN - SALUD CHANCHAMAYO;RURAL;320;PUERTO YURINAKI;NO;NACIONAL;;D.N.I.;37;FEMENINO;SUBSIDIADO;SIS PARA TODOS;PEAS + PC;5;
41;31/01/2023;MOQUEGUA;MARISCAL NIETO;SAMEGUA;180104;884;REGION MOQUEGUA - SALUD ;URBANA;2832;C.S. SAMEGUA;NO;NACIONAL;;D.N.I.;15;FEMENINO;SUBSIDIADO;SIS GRATUITO;PEAS + PC;18;
42;31/01/2023;LIMA METROPOLITANA;LIMA;SAN JUAN DE LURIGANCHO;150132;1683;DIRECCION DE REDES INTEGRADAS DE SALUD LIMA CENTRO;URBANA;5841;CHACARILLA DE OTERO;NO;NACIONAL;;D.N.I.;65;FEMENINO;SUBSIDIADO;SIS GRATUITO;PEAS + PC;32;
43;31/01/2023;LORETO;ALTO AMAZONAS;TENIENTE CESAR LÓPEZ ROJAS;160211;871;REGION LORETO - SALUD YURIMAGUAS;RURAL;299;P.S. I-1 PARINARI;NO;NACIONAL;;D.N.I.;34;FEMENINO;SUBSIDIADO;SIS GRATUITO;PEAS + PC;4;
44;31/01/2023;LA LIBERTAD;OTUZCO;MACHE;130608;853;REGION LA LIBERTAD - SALUD OTUZCO;RURAL;12823;LLUIN;NO;NACIONAL;;D.N.I.;12;MASCULINO;SUBSIDIADO;SIS GRATUITO;PEAS + PC;8;
45;31/01/2023;CUSCO;CUSCO;SAN JERÓNIMO;80104;1322;REG. CUSCO - RED DE SERVICIOS DE SALUD CUSCO SUR;URBANA;2300;SAN JERONIMO;NO;NACIONAL;;D.N.I.;90;FEMENINO;SUBSIDIADO;SIS PARA TODOS;PEAS + PC;6;
46;31/01/2023;CAJAMARCA;JAÉN;SALLIQUE;60809;788;REGION CAJAMARCA - SALUD JAEN;RURAL;4253;LA UNION;NO;NACIONAL;;D.N.I.;49;FEMENINO;SUBSIDIADO;SIS GRATUITO;PEAS + PC;9;
47;31/01/2023;LA LIBERTAD;SANTIAGO DE CHUCO;QUIRUVILCA;131006;852;REGION LA LIBERTAD - SALUD SANTIAGO DE CHUCO;URBANA;5342;C.S.M.I. QUIRUVILCA;NO;NACIONAL;;D.N.I.;29;MASCULINO;SUBSIDIADO;SIS GRATUITO;PEAS + PC;22;
48;31/01/2023;AMAZONAS;BAGUA;IMAZA;10205;955;REGION AMAZONAS - SALUD BAGUA;RURAL;7435;MESONES MURO;NO;NACIONAL;;D.N.I.;10;MASCULINO;SUBSIDIADO;SIS GRATUITO;PEAS + PC;13;
49;31/01/2023;PUNO;AZÁNGARO;SAN JOSÉ;210212;916;REGION PUNO - SALUD AZANGARO;RURAL;2955;CENTRO DE SALUD SAN JOSE;NO;NACIONAL;;D.N.I.;33;MASCULINO;SUBSIDIADO;SIS GRATUITO;PEAS + PC;10;
50;31/01/2023;CAJAMARCA;CUTERVO;CUTERVO;60601;787;REGION CAJAMARCA - SALUD CUTERVO;RURAL;7748;CULLANMAYO;NO;NACIONAL;;D.N.I.;17;MASCULINO;SUBSIDIADO;SIS GRATUITO;PEAS + PC;13;
51;31/01/2023;LORETO;MARISCAL RAMÓN CASTILLA;SAN PABLO;160404;870;REGION LORETO - SALUD LORETO ;RURAL;290;SAN ANTONIO - BAJO AMAZONAS;NO;NACIONAL;;D.N.I.;36;MASCULINO;SUBSIDIADO;SIS GRATUITO;PEAS + PC;5;
52;31/01/2023;AREQUIPA;AREQUIPA;SOCABAYA;40122;1222;REGION AREQUIPA - SALUD RED PERIFERICA AREQUIPA;URBANA;1270;PUESTO DE SALUD LARA;NO;NACIONAL;;D.N.I.;11;FEMENINO;SUBSIDIADO;SIS GRATUITO;PEAS + PC;27;
53;31/01/2023;LA LIBERTAD;SÁNCHEZ CARRIÓN;SARTIMBAMBA;130908;851;REGION LA LIBERTAD - SALUD SANCHEZ CARRION;RURAL;17925;LA VICTORIA;NO;NACIONAL;;D.N.I.;11;FEMENINO;SUBSIDIADO;SIS GRATUITO;PEAS + PC;23;
54;31/01/2023;LIMA PROVINCIAS;HUARAL;HUARAL;150601;1292;REGION LIMA - HOSPITAL HUARAL Y SERVICIOS BASICOS DE SALUD;URBANA;7637;HOSPITAL SAN JUAN BAUTISTA HUARAL;NO;NACIONAL;;D.N.I.;7;FEMENINO;SUBSIDIADO;SIS PARA TODOS;PEAS + PC;28;
55;31/01/2023;PUNO;MELGAR;LLALLI;210804;915;REGION PUNO - SALUD MELGAR;URBANA;3164;LLALLI;NO;NACIONAL;;D.N.I.;70;FEMENINO;SUBSIDIADO;SIS PARA TODOS;PEAS + PC;3;
56;31/01/2023;JUNÍN;HUANCAYO;HUANCAYO;120101;1224;REGION JUNIN - RED DE SALUD DEL VALLE DEL MANTARO;URBANA;728;OCOPILLA;NO;NACIONAL;;D.N.I.;50;MASCULINO;SUBSIDIADO;SIS GRATUITO;PEAS + PC;13;
57;31/01/2023;PIURA;PIURA;TAMBO GRANDE;200114;900;REGION PIURA - SALUD LUCIANO CASTILLO COLONNA;RURAL;1979;CRUCETA;NO;NACIONAL;;D.N.I.;6;MASCULINO;SUBSIDIADO;SIS GRATUITO;PEAS + PC;36;
58;31/01/2023;ÁNCASH;SANTA;NEPEÑA;21806;1421;REGION ANCASH - RED DE SALUD PACIFICO SUR;URBANA;1715;CENTRO DE SALUD SAN JACINTO;NO;NACIONAL;;D.N.I.;107;FEMENINO;SUBSIDIADO;SIS PARA TODOS;PEAS + PC;1;
59;31/01/2023;APURÍMAC;COTABAMBAS;HAQUIRA;30504;1500;REGION APURIMAC - RED DE SALUD COTABAMBAS;RURAL;7355;ANTAPUNCO;NO;NACIONAL;;D.N.I.;64;MASCULINO;SUBSIDIADO;SIS GRATUITO;PEAS + PC;3;
60;31/01/2023;PIURA;HUANCABAMBA;HUARMACA;200304;1026;REGION PIURA - SALUD MORROPON- CHULUCANAS;RURAL;2278;P.S SAN MARTIN DE CONGOÑA;NO;NACIONAL;;D.N.I.;41;MASCULINO;SUBSIDIADO;SIS GRATUITO;PEAS + PC;5;
61;31/01/2023;LAMBAYEQUE;FERREÑAFE;PITIPO;140205;1685;DIRECCION DE REDES INTEGRADAS DE SALUD LIMA SUR;RURAL;6079;CENTRO MATERNO INFANTIL LURIN;NO;NACIONAL;;D.N.I.;18;FEMENINO;SUBSIDIADO;SIS GRATUITO;PEAS + PC;1;
62;31/01/2023;AREQUIPA;AREQUIPA;AREQUIPA;40101;1686;DIRECCION DE REDES INTEGRADAS DE SALUD LIMA ESTE;URBANA;5918;MADRE TERESA  CALCUTA;NO;NACIONAL;;D.N.I.;16;FEMENINO;SUBSIDIADO;SIS PARA TODOS;PEAS + PC;1;
63;31/01/2023;HUANCAVELICA;TAYACAJA;ACRAQUIA;90703;1645;GOB. REG. HUANCAVELICA - RED DE SALUD TAYACAJA;RURAL;4078;PUESTO DE SALUD DOS DE MAYO;SI;NACIONAL;;D.N.I.;10;MASCULINO;SUBSIDIADO;SIS GRATUITO;PEAS + PC;4;
64;31/01/2023;PIURA;MORROPÓN;BUENOS AIRES;200402;1026;REGION PIURA - SALUD MORROPON- CHULUCANAS;URBANA;2188;E.S.  BUENOS AIRES;NO;NACIONAL;;D.N.I.;19;FEMENINO;SUBSIDIADO;SIS GRATUITO;PEAS + PC;22;
65;31/01/2023;CAJAMARCA;JAÉN;CHONTALI;60803;788;REGION CAJAMARCA - SALUD JAEN;RURAL;4232;CHONTALI;NO;NACIONAL;;D.N.I.;18;MASCULINO;SUBSIDIADO;SIS PARA TODOS;PEAS + PC;14;
66;31/01/2023;CAJAMARCA;SAN IGNACIO;LA COIPA;60904;1654;GOB. REG. CAJAMARCA - SALUD SAN IGNACIO;RURAL;4288;LA COIPA;NO;NACIONAL;;D.N.I.;34;MASCULINO;SUBSIDIADO;SIS PARA TODOS;PEAS + PC;57;
67;31/01/2023;SAN MARTÍN;BELLAVISTA;SAN RAFAEL;220206;1059;REGION SAN MARTIN - SALUD HUALLAGA CENTRAL;URBANA;6518;CRISTINO GARCIA CARHUAPOMA;NO;NACIONAL;;D.N.I.;15;MASCULINO;SUBSIDIADO;SIS GRATUITO;PEAS + PC;15;
68;31/01/2023;JUNÍN;TARMA;PALCA;120706;827;REGION JUNIN - SALUD TARMA;RURAL;573;CHIPOCAYO;NO;NACIONAL;;D.N.I.;33;FEMENINO;SUBSIDIADO;SIS GRATUITO;PEAS + PC;1;
69;31/01/2023;CAJAMARCA;SAN IGNACIO;CHIRINOS;60902;1654;GOB. REG. CAJAMARCA - SALUD SAN IGNACIO;RURAL;4277;EL TABLON;NO;NACIONAL;;D.N.I.;10;MASCULINO;SUBSIDIADO;SIS GRATUITO;PEAS + PC;4;
70;31/01/2023;AREQUIPA;CARAVELÍ;JAQUI;40310;768;REGION AREQUIPA - SALUD CAMANA;URBANA;1373;PUESTO DE SALUD JAQUI;NO;NACIONAL;;D.N.I.;27;FEMENINO;SUBSIDIADO;SIS PARA TODOS;PEAS + PC;7;
71;31/01/2023;SAN MARTÍN;RIOJA;SAN FERNANDO;220807;1058;REGION SAN MARTIN - SALUD ALTO MAYO;RURAL;6290;SAN FERNANDO;NO;NACIONAL;;D.N.I.;25;FEMENINO;SUBSIDIADO;SIS PARA TODOS;PEAS + PC;11;
72;31/01/2023;ÁNCASH;HUARAZ;OLLEROS;20108;740;REGION ANCASH - SALUD RECUAY CARHUAZ;RURAL;1552;PUESTO DE SALUD LLOCLLA;NO;NACIONAL;;D.N.I.;56;MASCULINO;SUBSIDIADO;SIS GRATUITO;PEAS + PC;1;
73;31/01/2023;PUNO;MELGAR;CUPI;210803;915;REGION PUNO - SALUD MELGAR;RURAL;3162;CUPI;NO;NACIONAL;;D.N.I.;80;MASCULINO;SUBSIDIADO;SIS GRATUITO;PEAS + PC;2;
74;31/01/2023;LA LIBERTAD;TRUJILLO;FLORENCIA DE MORA;130103;854;REGION LA LIBERTAD - SALUD TRUJILLO ESTE;URBANA;5217;HOSPITAL DISTRITAL EL ESFUERZO DE FLORENCIA DE MORA;NO;NACIONAL;;NO CUENTA CON DOCUMENTO DE IDENTIDAD;3;MASCULINO;SUBSIDIADO;SIS GRATUITO;PEAS + PC;21;
75;31/01/2023;TACNA;JORGE BASADRE;LOCUMBA;230301;1622;GOB. REG. DE TACNA - RED DE SALUD TACNA;RURAL;2913;CENTRO DE SALUD LOCUMBA;NO;NACIONAL;;D.N.I.;61;MASCULINO;SUBSIDIADO;SIS PARA TODOS;PEAS + PC;3;
76;31/01/2023;LA LIBERTAD;CHEPÉN;CHEPEN;130401;849;REGION LA LIBERTAD - SALUD CHEPEN;URBANA;5299;HOSPITAL DE APOYO CHEPEN;NO;EXTRANJERO;VENEZUELA;CARNÉ DE EXTRANJERíA;59;FEMENINO;SUBSIDIADO;SIS PARA TODOS;PEAS + PC;1;
77;31/01/2023;PIURA;PIURA;CATACAOS;200105;899;REGION PIURA - SALUD ;URBANA;2122;E.S.   SAN PABLO;NO;NACIONAL;;D.N.I.;38;FEMENINO;SUBSIDIADO;SIS GRATUITO;PEAS + PC;8;
78;31/01/2023;LIMA METROPOLITANA;LIMA;LINCE;150116;1683;DIRECCION DE REDES INTEGRADAS DE SALUD LIMA CENTRO;URBANA;6195;CENTRO DE SALUD LINCE;NO;EXTRANJERO;COLOMBIA;CARNÉ DE EXTRANJERíA;32;FEMENINO;SUBSIDIADO;SIS PARA TODOS;PEAS + PC;1;
79;31/01/2023;LIMA METROPOLITANA;LIMA;SANTA ANITA;150137;1686;DIRECCION DE REDES INTEGRADAS DE SALUD LIMA ESTE;URBANA;5852;COOPERATIVA UNIVERSAL;NO;EXTRANJERO;VIETNAM;CARNÉ DE EXTRANJERíA;27;MASCULINO;SUBSIDIADO;SIS PARA TODOS;PEAS + PC;1;
80;31/01/2023;LIMA METROPOLITANA;LIMA;VILLA MARÍA DEL TRIUNFO;150143;1685;DIRECCION DE REDES INTEGRADAS DE SALUD LIMA SUR;URBANA;6140;CENTRO DE SALUD NUEVA ESPERANZA;NO;EXTRANJERO;ARGENTINA;CARNÉ DE EXTRANJERíA;49;FEMENINO;SUBSIDIADO;SIS GRATUITO;PEAS + PC;1;
81;31/01/2023;ÁNCASH;HUARAZ;INDEPENDENCIA;20105;740;REGION ANCASH - SALUD RECUAY CARHUAZ;URBANA;1574;CENTRO DE SALUD MONTERREY;NO;NACIONAL;;D.N.I.;20;MASCULINO;SUBSIDIADO;SIS GRATUITO;PEAS + PC;15;
82;31/01/2023;APURÍMAC;ANDAHUAYLAS;ANDAHUAYLAS;30201;756;REGION APURIMAC - SALUD CHANKA;URBANA;6804;ANDAHUAYLAS;NO;EXTRANJERO;BOLIVIA;CARNÉ DE EXTRANJERíA;15;FEMENINO;SUBSIDIADO;SIS PARA TODOS;PEAS + PC;1;
83;31/01/2023;LIMA METROPOLITANA;LIMA;LURIGANCHO;150118;1686;DIRECCION DE REDES INTEGRADAS DE SALUD LIMA ESTE;URBANA;5862;CHOSICA;NO;EXTRANJERO;VENEZUELA;CARNÉ DE EXTRANJERíA;6;MASCULINO;SUBSIDIADO;SIS PARA TODOS;PEAS + PC;1;
84;31/01/2023;SAN MARTÍN;RIOJA;ELÍAS SOPLIN VARGAS;220803;1058;REGION SAN MARTIN - SALUD ALTO MAYO;URBANA;6277;SEGUNDA JERUSALEN;NO;NACIONAL;;D.N.I.;88;FEMENINO;SUBSIDIADO;SIS PARA TODOS;PEAS + PC;2;
85;31/01/2023;CAJAMARCA;SAN MIGUEL;SAN SILVESTRE DE COCHAN;61111;785;REGION CAJAMARCA - SALUD CAJAMARCA;RURAL;4566;TANTACHUAL BAJO;NO;NACIONAL;;D.N.I.;8;MASCULINO;SUBSIDIADO;SIS GRATUITO;PEAS + PC;8;
86;31/01/2023;SAN MARTÍN;LAMAS;ALONSO DE ALVARADO;220502;1058;REGION SAN MARTIN - SALUD ALTO MAYO;RURAL;7297;ALAN GARCIA;NO;NACIONAL;;D.N.I.;7;MASCULINO;SUBSIDIADO;SIS GRATUITO;PEAS + PC;12;
87;31/01/2023;LAMBAYEQUE;LAMBAYEQUE;JAYANCA;140304;860;REGION LAMBAYEQUE - SALUD ;URBANA;4371;JAYANCA;NO;NACIONAL;;D.N.I.;67;FEMENINO;SUBSIDIADO;SIS PARA TODOS;PEAS + PC;10;
88;31/01/2023;CAJAMARCA;JAÉN;CHONTALI;60803;788;REGION CAJAMARCA - SALUD JAEN;RURAL;4235;TABACAL CHONTALI;NO;NACIONAL;;D.N.I.;43;MASCULINO;SUBSIDIADO;SIS GRATUITO;PEAS + PC;14;
89;31/01/2023;LIMA PROVINCIAS;HUAROCHIRÍ;SAN ANTONIO;150716;1404;REGION LIMA - RED DE SALUD HUAROCHIRI;RURAL;5896;SAGRADO CORAZON DE JESUS;NO;NACIONAL;;NO CUENTA CON DOCUMENTO DE IDENTIDAD;2;FEMENINO;SUBSIDIADO;SIS GRATUITO;PEAS + PC;27;
